Date,Open,High,Low,Close,Adj Close,Volume
31-Jul-20,255.82,255.85,249,253.67,253.67,"53,030,000"
30-Jul-20,230.22,234.89,229,234.5,234.5,"20,615,300"
29-Jul-20,231.14,233.7,230.31,233.29,233.29,"13,588,300"
28-Jul-20,234.63,234.96,229.83,230.12,230.12,"14,170,100"
27-Jul-20,231.46,234.95,230.83,233.5,233.5,"13,163,100"
24-Jul-20,230.19,233.49,226.9,230.71,230.71,"18,325,800"
23-Jul-20,239.63,242.42,231.75,232.6,232.6,"21,771,800"
22-Jul-20,240.26,241.9,238.12,239.87,239.87,"15,427,900"
21-Jul-20,246.22,246.91,240.08,241.75,241.75,"19,409,700"
20-Jul-20,240.06,246.05,235.64,245.42,245.42,"20,872,200"
17-Jul-20,241,244.16,237.86,242.03,242.03,"18,152,400"
16-Jul-20,238,241.76,236.33,240.93,240.93,"18,880,700"
15-Jul-20,241.55,244.82,238.05,240.28,240.28,"19,133,600"
14-Jul-20,236.76,240.33,232.03,239.73,239.73,"23,378,100"
13-Jul-20,247.01,250.15,238.42,239,239,"24,674,900"
10-Jul-20,243.69,245.49,239.32,245.07,245.07,"22,982,700"
9-Jul-20,245,246.53,239.24,244.5,244.5,"22,174,900"
8-Jul-20,238.11,246.99,236.59,243.58,243.58,"29,791,300"
7-Jul-20,239.41,247.65,238.82,240.86,240.86,"27,887,800"
6-Jul-20,233.76,240.4,232.27,240.28,240.28,"26,206,200"
2-Jul-20,239,240,232.61,233.42,233.42,"30,633,600"
1-Jul-20,228.5,239,227.56,237.55,237.55,"43,399,700"
30-Jun-20,220.59,227.5,218.47,227.07,227.07,"33,927,100"
29-Jun-20,209.75,220.75,207.11,220.64,220.64,"58,514,300"
26-Jun-20,232.64,233.09,215.4,216.08,216.08,"76,343,900"
25-Jun-20,234.62,237.3,232.74,235.68,235.68,"18,704,300"
24-Jun-20,241.2,243.22,232.68,234.02,234.02,"20,834,900"
23-Jun-20,241.28,245.19,239.86,242.24,242.24,"24,017,900"
22-Jun-20,238.56,240.7,236.91,239.22,239.22,"18,917,800"
19-Jun-20,237.79,240.83,235.55,238.79,238.79,"30,081,300"
18-Jun-20,234.99,236.14,232.15,235.94,235.94,"15,782,500"
17-Jun-20,235,237.59,231.73,235.53,235.53,"19,552,800"
16-Jun-20,237.14,238.46,233,235.65,235.65,"15,236,700"
15-Jun-20,225.09,233.77,224.8,232.5,232.5,"15,340,300"
12-Jun-20,229.9,231.66,224.5,228.58,228.58,"22,071,700"
11-Jun-20,229.94,232.89,223.55,224.43,224.43,"26,708,200"
10-Jun-20,240.96,241.21,235.28,236.73,236.73,"20,720,700"
9-Jun-20,231.52,239.77,230.41,238.67,238.67,"27,462,900"
8-Jun-20,229.03,231.55,227.41,231.4,231.4,"15,466,500"
5-Jun-20,226.71,231.35,225.31,230.77,230.77,"16,750,400"
4-Jun-20,229.56,231.63,224.61,226.29,226.29,"17,041,500"
3-Jun-20,232.11,232.65,228.53,230.16,230.16,"15,380,300"
2-Jun-20,230.94,233,226.56,232.72,232.72,"20,919,000"
1-Jun-20,224.59,232.44,223.5,231.91,231.91,"18,223,800"
29-May-20,225.2,227.49,222.88,225.09,225.09,"23,322,500"
28-May-20,224.3,231.63,224,225.46,225.46,"29,377,200"
27-May-20,229.07,230.56,221.13,229.14,229.14,"34,697,600"
26-May-20,239.77,240.9,231.67,232.2,232.2,"33,178,300"
22-May-20,231.51,235.99,228.74,234.91,234.91,"33,925,600"
21-May-20,234.72,237.2,231.2,231.39,231.39,"47,782,600"
20-May-20,223.5,231.34,223.19,229.97,229.97,"50,162,900"
19-May-20,213.27,220.49,212.83,216.88,216.88,"31,843,200"
18-May-20,212.15,214.64,210.94,213.19,213.19,"20,167,400"
15-May-20,205.27,211.34,204.12,210.88,210.88,"19,383,200"
14-May-20,202.56,206.93,200.69,206.81,206.81,"17,178,900"
13-May-20,209.43,210.78,202.11,205.1,205.1,"20,684,600"
12-May-20,213.29,215.28,210,210.1,210.1,"14,704,600"
11-May-20,210.89,215,210.37,213.18,213.18,"12,893,100"
8-May-20,212.24,213.21,210.85,212.35,212.35,"12,524,000"
7-May-20,211.16,211.6,209.04,211.26,211.26,"15,152,000"
6-May-20,208.12,211.6,206.66,208.47,208.47,"21,857,000"
5-May-20,207.02,210.38,206.5,207.07,207.07,"21,071,200"
4-May-20,200.2,205.91,198.76,205.26,205.26,"19,250,700"
1-May-20,201.6,207.28,199.05,202.27,202.27,"30,415,600"
30-Apr-20,206.92,209.69,201.57,204.71,204.71,"46,173,300"
29-Apr-20,190.93,196.91,190,194.19,194.19,"45,954,500"
28-Apr-20,188.66,189.2,182.56,182.91,182.91,"21,731,000"
27-Apr-20,192.66,193.75,187.41,187.5,187.5,"29,197,800"
24-Apr-20,183.23,190.41,180.83,190.07,190.07,"28,868,500"
23-Apr-20,184.08,187.05,183.15,185.13,185.13,"21,426,600"
22-Apr-20,178.45,184.78,178.14,182.28,182.28,"33,369,900"
21-Apr-20,175.25,175.38,168.34,170.8,170.8,"24,850,500"
20-Apr-20,177.41,180.5,176.77,178.24,178.24,"16,110,700"
17-Apr-20,179.2,180.28,176.66,179.24,179.24,"20,974,800"
16-Apr-20,177.95,178.05,172.51,176.25,176.25,"23,593,200"
15-Apr-20,175.19,178.19,172.82,176.97,176.97,"17,423,000"
14-Apr-20,178.98,181.23,176.62,178.17,178.17,"21,011,800"
13-Apr-20,173.67,175,169.45,174.79,174.79,"19,355,400"
9-Apr-20,175.9,177.08,171.57,175.19,175.19,"23,534,300"
8-Apr-20,171.25,175,167.74,174.28,174.28,"21,664,200"
7-Apr-20,171.79,173.39,166.01,168.83,168.83,"31,411,900"
6-Apr-20,160.15,166.2,158.51,165.55,165.55,"28,453,600"
3-Apr-20,157.15,157.91,150.83,154.18,154.18,"25,983,300"
2-Apr-20,159.1,161.35,155.92,158.19,158.19,"20,886,300"
1-Apr-20,161.62,164.15,158.04,159.6,159.6,"19,507,600"
31-Mar-20,165.48,170.93,164.2,166.8,166.8,"23,676,300"
30-Mar-20,159.18,166.75,158.06,165.95,165.95,"22,515,200"
27-Mar-20,158.2,160.09,154.75,156.79,156.79,"24,879,900"
26-Mar-20,158.25,164,157.02,163.34,163.34,"26,556,800"
25-Mar-20,158.92,162.99,153.06,156.21,156.21,"35,184,300"
24-Mar-20,155.21,161.31,152.57,160.98,160.98,"30,440,400"
23-Mar-20,149.66,152.31,142.25,148.1,148.1,"29,830,800"
20-Mar-20,156.02,159.27,148,149.73,149.73,"32,568,400"
19-Mar-20,146.62,159.93,144.8,153.13,153.13,"39,862,300"
18-Mar-20,139.75,148.18,137.1,146.96,146.96,"37,553,100"
17-Mar-20,150.74,153.94,140,149.42,149.42,"34,255,600"
16-Mar-20,152.32,159.13,143.1,146.01,146.01,"39,120,400"
13-Mar-20,163.53,170.79,157.6,170.28,170.28,"35,028,600"
12-Mar-20,159.54,166.6,154.34,154.47,154.47,"43,266,300"
11-Mar-20,174.01,175.88,167.66,170.24,170.24,"20,373,900"
10-Mar-20,174.67,178.29,169.5,178.19,178.19,"24,517,800"
9-Mar-20,169.6,175,165.19,169.5,169.5,"29,949,000"
6-Mar-20,178.33,183.78,176.26,181.09,181.09,"24,559,600"
5-Mar-20,186.78,188.99,183.89,185.17,185.17,"19,333,400"
4-Mar-20,189.17,191.83,186.39,191.76,191.76,"23,062,500"
3-Mar-20,196.22,197.24,183.97,185.89,185.89,"27,984,100"
2-Mar-20,194.03,196.57,188.85,196.44,196.44,"24,949,000"
28-Feb-20,182.7,192.74,181.82,192.47,192.47,"32,583,500"
27-Feb-20,191.82,195.88,189.5,189.75,189.75,"21,641,800"
26-Feb-20,197.19,201.21,195.49,197.2,197.2,"16,524,500"
25-Feb-20,202.25,203.5,195.95,196.77,196.77,"21,433,500"
24-Feb-20,201.8,203.65,198.17,200.72,200.72,"23,080,100"
21-Feb-20,213.48,214.24,208.83,210.18,210.18,"14,092,300"
20-Feb-20,216.52,218.77,212.95,214.58,214.58,"13,093,600"
19-Feb-20,217.99,218.32,216.11,217.49,217.49,"12,135,100"
18-Feb-20,213.55,217.98,213.4,217.8,217.8,"15,609,200"
14-Feb-20,214,214.93,212.65,214.18,214.18,"10,741,700"
13-Feb-20,209.52,214.33,209.18,213.14,213.14,"15,396,600"
12-Feb-20,207.85,211.22,207.4,210.76,210.76,"13,813,700"
11-Feb-20,210.19,210.86,206.51,207.19,207.19,"25,030,800"
10-Feb-20,211.52,213.8,210.66,213.06,213.06,"11,856,400"
7-Feb-20,210.3,212.82,209.93,212.33,212.33,"12,242,500"
6-Feb-20,210.47,211.19,209.34,210.85,210.85,"10,567,500"
5-Feb-20,212.51,212.73,208.71,210.11,210.11,"12,538,200"
4-Feb-20,206.62,210.6,205.2,209.83,209.83,"19,628,900"
3-Feb-20,203.44,205.14,202.5,204.19,204.19,"15,510,500"
31-Jan-20,208.43,208.69,201.06,201.91,201.91,"31,359,900"
30-Jan-20,206.53,211.43,204.75,209.53,209.53,"48,775,500"
29-Jan-20,221.44,224.2,218.45,223.23,223.23,"33,181,300"
28-Jan-20,216.14,218.74,213.52,217.79,217.79,"13,413,800"
27-Jan-20,213.1,216.06,212.5,214.87,214.87,"13,810,700"
24-Jan-20,220.8,221.78,216.11,217.94,217.94,"11,905,800"
23-Jan-20,220.75,221.49,219.27,219.76,219.76,"11,195,000"
22-Jan-20,222.31,222.75,221.28,221.32,221.32,"12,212,800"
21-Jan-20,222.16,222.37,219.12,221.44,221.44,"14,275,800"
17-Jan-20,222.03,222.29,220.53,222.14,222.14,"15,905,900"
16-Jan-20,222.57,222.63,220.39,221.77,221.77,"10,015,300"
15-Jan-20,220.61,221.68,220.14,221.15,221.15,"10,036,500"
14-Jan-20,221.61,222.38,218.63,219.06,219.06,"13,288,900"
13-Jan-20,219.6,221.97,219.21,221.91,221.91,"14,463,400"
10-Jan-20,219.2,219.88,217.42,218.06,218.06,"12,119,400"
9-Jan-20,217.54,218.38,216.28,218.3,218.3,"12,642,800"